,sentences
199307,Your symptoms could be related to gastroesophageal reflux or muscle pain.
199433,Is surgery the only option?
199497,"Lately, I have been experiencing increased anxiety and sadness."
199566,I have started avoiding to have such thoughts.
199739,Start talking with your own self.
199872,If you want to see and have proof of progress go for EMG.
199942,"Also, there is no history of vitiligo in my entire family and ancestors."
199943,Please suggest if it can be treated and how?
199976,They do not want to accept new generations like us.
199977,"They think if I wear a short dress, it means I am characterless in front of them."
200066,I can see a crusted plaque.
200198,But I have another question.
200288,She can take tablet Hyocimax MF (Hyoscine butylbromide with Mefenamic acid) three times daily for pain.
200311,Likely it is an anxiety only causing you tachycardia.
200326,Does she have any underlying heart disease?
200351,My father's fasting sugar is 111 and PP is 83.
200355,Is he taking any medicines for lowering sugar?
200358,The fasting sugar is the sugar produced by our liver during the night to provide glucose to the brain and other organs even though we are not eating anything.
200379,"I tried to learn good fluent English, but I am unsuccessful."
200416,"Hence, even if I do better work than others, I am not focused enough to sell the idea.I hide my sad feelings inside.I cannot praise myself in front of others even if I did a good job where many people praise themselves even for a small work.Tears come while watching sentimental scenes in TV shows or movies."
200456,You have a feeling like you were circumspect by others.
200523,"This fat is converted into estrogenic hormones, so also testosterone, the male hormone."
200560,"According to your symptoms, I suggest homeopathic medicine Beriberis AQ ointment and according to your constitutional medicine Nat Mur 200 potency (10 pills) once in five days for a month."
200636,My age is 19 years old and my height is 161 cm.
200674,Ensure you get a full night's sleep.
200816,The raised lesion on your thigh is most likely a dermatofibroma.
200893,One of the DMs I contacted in person is of the opinion that it may be psychosomatic in nature and prescribed a combination of Flupentixol and Escitalopram.
200900,Cardiac pain usually increases on exertion and relieves with rest.
200970,Day by day I think this problem is becoming worse.
201007,"For this reason, it is important performing further tests to investigate the possible causes: You should discuss with your doctor on the above tests."
201054,"Also, you can wake up the child in the middle of the night if you find out that he has bedwetted himself so that this develops a behavioral change in the child and eventually will go a long way in stopping bed wetting."
201063,My menstrual cycle is normal.
201090,Prolonged increase in temperature in the region of the scrotum will definitely affect testicular function in the long run.
201154,Erythromycin is a hepatic enzyme inhibitor meaning it will delay the metabolism of Lucette (Ethinylestradiol and Drospirenone) thus allowing increased levels of the hormone in the bloodstream for a longer duration than normal.
201161,I have found out that my CRP and ESR is very high (I have a history of aortic valve replacement surgery).
201180,"If it is operated, can it be further developed in future?"
201184,It requires surgical removal as suggested by your doctor.
201213,Take care and God bless.
201283,It may be early or delayed by one week.
201422,"Brushing and flossing are to be continued, and never stop doing it."
201425,It will heal as you do the rinse treatment along with good oral hygiene.
201456,The diagnosis was cellulitis.
201520,"Two weeks ago, I deep kissed a man I had just met whose serological status I do not know."
201557,Which doctor should I consult?
201578,Stress test results showed abnormalities at high heart rate (both in EKG and echo).
201671,I have done ECG four times.
201741,"Coming to vomiting, typhoid has one main complication, that is, it causes typhoid ulceration in GIT which causes mostly diarrhoea and vomitting."
201805,"Though my problem is not very severe, but it is gradually increasing."
201889,You can also use dark tinted goggles as you have intolerance to light.
201962,I guess I have some psychological problem.
201975,"Look for friends, socialize, find a good conjugal relationship."
202002,So there is no treatment to increase the AMH.
202102,Now either there is calculus (hard deposit) or you have got the periodontal infection.
202192,"It comes down from my chest, it kind of fills the gap from under the breast to the ribs."
202213,He has experienced a little lightheadedness after climaxing and on occasion some chest discomfort.
202222,"Anyway, if sex is must then medicines needs to be optimized."
202335,"My ears, mainly my left one, started feeling a bit sore this morning."
202403,My first IUI failed.
202413,You may have to take it from one to three months depending on the size of the cyst.
202463,"I took Genevin in the past, which was a wrong prescription out of assumption)."
202465,The drug is antifungal if you have taken it and had sex no particular action on sex actually and on sperm and its way to cover path inside the femalebody.
202481,"Hi doctor,I used unwanted kit two weeks back and still, light bleeding is going on and blood color has changed."
202486,If bleeding does not stop in three to five days then I suggest you consult a gynecologist for a pelvic examination.
202521,I advise you to take care of your diet because most of the symptoms arises because of unhealthy dietary practices.
202553,"Why this differs from auto is because the autorefractor guides us, then there is an exam and we are trying lenses many times and sometimes it takes more than 10 minutes to have the prescription depending on the medical and physical rules."
202578,There is no rashes or ulcers in my private part.
202611,"But, this has to happen during his adolescent age period and should continue further."
202631,"If you do not have any symptoms or your functionality is good, nothing to worry about as family history does not automatically make you a patient."
202667,"It is very painful, not all the time but often."
202688,Another probability is the swelling due to allergy.
202715,As my wife is more supportive I feel bad for her now.
202761,"Seven days after, I was re-tested and no more chlamydia."
202762,"Then four weeks ago, I started to feel prostatitis symptoms show up again."
202840,The HIV contaminated instruments and waste material from instruments cannot cause HIV infection as there will be more than 30 minutes before contacting you.
202841,"Second, never work with open wounds."
202872,"I have heard that if we start running every day our heart rate goes down and down, but the reverse is happening for me, so scary."
202958,"The finger appears mostly together, but the area that was sliced is inflamed and sensitive to the touch and does not seem to be improving any longer."
203015,"Since you have started proper diet control, your blood sugar levels are getting better and better day by day."
203208,I am facing an embarrassing situation.
203209,Kindly give me an instant solution to this problem.
203292,"By this way, you will be able to relish and enjoy the food."
203311,"In the second and third trimester, it is less usual and can be due to a urine infection."
203325,"For the past two months, I started having a pricky ejaculation every time when I have sex."
203394,"Before four years, I had a dating with a guy."
203453,"To the best of my knowledge, as per published literature, there is no case reported of HIV (human immunodeficiency virus) through kissing."
203600,Growth hormone injections do not have any role in your age group (just for children with deficiencies of hormone).
203609,Get an early appointment with your dentist for an examination.
203614,"Free testosterone 11.65 pg/ml, total testosterone 649 ng/dl, serum estradiol 70.45 pg/ml, height 5’9”, weight 80 kg, blood pressure 140/90."
203663,I lie to keep things simple.
203671,I see other's face and direct sunlight does not show imperfections like it does mine.
203724,I have a peak flow of 67 liters per minute which is good.
203744,"There is suffocation, gasteric choking, and acute heart pain experienced by the patient and under SAAOL therapy."
203807,"If you have any feeling of doubt, then you get a rabies vaccine."
203887,Review back as per your requirement.
204049,"Sometimes, there is a pain in the lower part of the tummy."
204105,Blood sugar is all normal and working fine.
204112,Causes of high ESR can be inflammations and infections in the body.
204256,In your practice have you seen the offspring of ANA positive having a greater incidence of neuro-developmental disabilities like autism?
204360,My teeth seem to be yellow in color from the past few years.
204375,"Otherwise, it will not affect your health in any other way."
204378,I had a problem with internet porn where I can have as many erections as I want.
204404,We took her to the doctors and they prescribed her some medicine to apply directly on the patches but it does not help.
204426,I do have chronic stress and I have been constantly losing weight and usually go to pass stool two sometimes three times a day.
204428,"I am not sure what is causing this discoloration, but I am really concerned."
204544,"However, my BUN/ creatinine ratio was 6.6 and it says that is low."
204560,This will definitely clarify all the present coronary lesions and the ongoing management strategy as well.
204620,Revert back with the reports to a Dermatologist online --> https://www.icliniq.com/ask-a-doctor-online/dermatologist
204633,"If not, you have to get it done first to assess the nature of the swelling."
204696,I have gotten painful bumps on my pubic area in the past when I shave and do not shave that seem to come out of nowhere.
204806,If these features are absent get a CT brain and consult a neurologist.
204890,Feeling of heaviness in the neck and numbness in head is most likely part of anxiety.
204893,These are anti-anxiety drugs and help control the anxiety.
204930,"However, this is due to expire in two months."
205346,"Please, could you advise if it is too early for pregnancy as I am due to start my period between 20th-22nd of this month or do you think it is a virus or bug?"
205381,I was not too concerned but I noted it.
205408,Phlegm comes sometimes when I am talking.
205463,"Currently, taking Deryphilene, Wysolone, inhaler and other medicines for asthma."
205479,"Four months back, I weighed 56 kilos and I decided to drastically change my eating habits to the healthier side since my cholesterol levels were a bit high."
205520,"Hello doctor,I am a girl, 18 years old and a virgin."
205549,So do not try any self-medication for abortion.
205618,"Hello doctor,This is regarding my 64 year old mother-in-law."
205625,Does this suggest an autoimmune disease?
205678,What diet should I take?
205707,"According to the history provided, your main concern is regarding fear of multiple myeloma."
205773,I washed again and it cleared mostly but some still remained.
205804,"If he is not cooperating, then either just give him antibiotics for a week, delay for a month or so like that."
205837,So just relax and do not get worried about it.
205904,"NSAID (non-steroidal anti-inflammatory drugs) are the first line drugs and if the patient fails to improve with them, then biologics are given."
205910,It would be done at once under general anesthesia.
205928,You can see a pregnancy on scan only when the levels of beta hCG is above 1500 miu/ ml.
205934,"If it is a healthy pregnancy, it will double or else it will be the same or fall if an unhealthy pregnancy."
206026,"Currently, I am taking Temgesic 216 micrograms and Buprenorphine hydrochloride twice daily."
206088,I have burning sensation and numbness and pain.
206134,I want to ask you if he will be alright in a few days after treatment or anything new he will have to do.
206185,I have checked your blood tests (attachment removed to protect patient identity) and read your complaints about your health.
206207,At least 30 minutes before eating anything.
206232,I am a 21-year-old married female.
206298,Your CBC report is within limits as attached herewith (attachment removed to protect patient identity).
206368,"Three days later, she was passing a little blood."
206380,I came to know two days back that he is positive.
206391,My periods are mostly irregular and I usually have cramps in stomach and my breasts hurt before periods not every time though.
206642,"If you do not need the baby, your gynecologist can best guide you how to proceed."
206769,"Hello doctor,For the past two months, my 89-year-old husband is suffering from a painful, burning, and itchy skin disease."
206779,"Our environment is scent free, no chemicals and soap and laundry soap are hypoallergenic."
206792,"Since then, I am also having very sharp pain when inhaling and exhaling, as well as when rotating my torso or neck."
206811,He asked me to get CBC test and routine urine test.
206828,I will be under general anesthesia.
206859,"I may also carry a red hair gene, which may make the spots more frequent."
206886,"For managing Premature ejaculation, a drug from SSRI (selective serotonin reuptake inhibitor) group such as Fluoxetine or Sertraline or Dapoxetine is used."
206896,"One is to have hormones (norethisterone or COCP-combined oral contraceptive pill) cyclically for three months (will regulate cycles hormonally) and have blood tests serum testosterone, serum prolactin, serum inhibin, serum progesterone, FSH (follicular stimulating hormone) and LH (luteinizing hormone) and thyroid function test on day two and the result should be checked and abnormality to treat ."
206982,Practice for 5 to 7 minutes.
207027,I have had imaging tests of which nothing has shown up.
207045,"Today morning, I again checked and found that the result is positive."
207058,As it messes with my self-esteem.
207144,"Any changes in the skin products such as using new soaps, new face creams, any history of exposure to sunlight for longer duration and history of travel to a new place can cause changes in the skin."
207158,If I miss a dose my heart goes fast even during rest.
207176,I recommend you to start taking Vitamin D supplements.
207211,I used to have mild abdominal pain in the lower right part of the stomach.
207234,I am very stressed out and feel that I need a second opinion.
207237,"About 13 years ago, I had an abscess on the right upper first and second molars."
207290,My lifestyle is very sedentary.
207381,My doctor advised me Doxycycline for next one month but I am not taking it for past four months.
207404,Does this happen due to vitamin deficiency?
207413,"From the report (attachment removed to protect patient identity), I feel significant are as follows."
207511,"As per the history, it looks like it is getting difficult to manage with Warfarin."
207521,My suggestion is to move to newer oral anticoagulants with a slight inclination towards Apixaban based on the current data.
207523,A white substance is gathering over the skin.
207614,I consulted a doctor and started taking Vegas OD and Cardinol.
207648,"Later on, I started to realize changes in the nails after one month, joints pain still ongoing, no fever nor lymphadenopathy, most importantly I lost a lot of pounds and lost appetite and lost weight especially in my face - around the eyes and mouth."
207667,These facial changes what I am experiencing are simply driving me crazy.
207755,Could this be Hashimoto's disease or cancer?
207847,"Use of Clomid improves your ovulation chances, IUI improves the chances of sperm meeting the egg."
207868,"Lichen planus can occur in skin, genitalia, mouth, and nails."
207927,This occurs due to deficiency of insulin which is secreted by the pancreas.
207983,Is it completely safe to take it even if having intercourse very occasionally?
208050,"I want to know, is it dangerous?"
208111,Can I go for a trip to abroad?
208120,There is no apparent limitation to the range of motion.
208177,since starting squash but it has still remained a bit tender when stretched with less range of motion than the other side.
208200,"So, you do not need to take rabies vaccination if your dog is immune against rabies."
208203,There is no erection when I go near a female.
208354,It is just slight inflammatory reaction of tongue epithelium.
208378,I had unprotected sex on the last day of my period.
208397,He should have plenty of fluids and regular exercises.
208530,"At first, she was unable to walk."
208581,"Mirtazapine, as you have been taking, also help in controlling symptoms of IBS."
208639,I would advise you to wait for a few days.
208653,"Dialysis is required if there is volume overload (lower limb edema and chest congestion), also if there is high potassium."
208660,"Next day at 9 AM, I underwent angiogram and noticed RCA 99 % block, kept stent."
208664,What next?
208669,The second option is ablation of these VPC's.
208701,"In such case, a local muscle relaxant ointment in the neck and painkillers are the main treatment."
208863,The chances of transmission of HIV (human immunodeficiency virus) by protected intercourse is impossible if used in a right manner.
208953,She is 10 month old.
208958,Please let me know the weight of the child so that I can advise you exact dose.
209012,The area burns a little.
209015,I do not see any signs suggestive of fungal infection.
209027,Do you think she could be having an idiosyncratic reaction to the fish calcitonin which has been stopped?
209060,"Actually, it started itching and the area surrounding is tender."
209080,There is no need for urgent surgery.
209130,A biopsy will determine the true nature of this lesion.
209151,"If you have taken the I-pill within 72 hours of sex, the chances of you getting pregnant are slim."
209193,I have had an awful headache for six days making me very agitated.
209406,"About one year ago, I started experiencing chest pains that would quickly go away after awhile."
209420,"My OCT was done, which showed no damage to nerves."
209428,"The protocol is to graph your IOP (intraocular pressure) for 24 hours or IOP at different times of day repeatedly for a week, then one can decide if you have glaucoma or if you are just a case of ocular hypertension."
209450,"Hi doctor,Please find enclosed reports of my father-in-law."
209476,"I do feel I have slight (very mild) edema, maybe Amlodipine-induced edema as I am on 10 mg daily."
209504,My height is 172 cm and weight 68 to 70 Kg.
209541,I request that you please reply and give me proper advise.
209642,A regular and dedicated system of token economy works wonders in the long term.
209654,The effects of the PPI seemed to diminish after a while as the pain returned during nights and while exercising.
209668,He determined it is a moderately pronounced gastritis and suggested three weeks of PPI therapy.
209681,Is there anything I can do to get rid of it?
209787,Can I get pregnant after the second day of taking birth control pill (first time taking pills) and having unprotected sex?
209819,"I am on Effexor XR 150 and Effexor regular 75, Buspirone 15 mg three times a day, Risperidone 2 mg, Zantac 150 mg, Tizanidine 2 mg, migraine meds, a preventive inhaler, a rescue inhaler, and a nebulizer."
209919,I am writing this with a hope that you will help me.
209928,One among them is counseling and psychotherapy.
209993,"Hence, an ultrasound pelvis is a must to establish the location of pregnancy first."
210073,Contact dermatitis which is a type of allergy caused by something irritant comes into contact with your skin like your necklace.
210169,"Well, the best way to find out whether this is spotting due to pregnancy or I-pill is by doing a simple blood test namely the serum beta hCG (human chorionic gonadotropin) to rule out pregnancy."
210178,My eyes still get hurt by bright light and my pupils are big.
210209,I took my toothbrush and tried to scrub it out real well to get it.
210291,"So, if your test is negative at 92 days after a risky exposure, it is conclusive."
210396,Start tablet Norethisterone 10 mg twice daily from day 5 to day 24 for three cycles to regulate cycle and reduce bleeding.
210503,"In my opinion, most individuals with resistant or bipolar depression need long-term treatment and any attempt to withdraw medication without supervision can bring the depression back to your life."
210541,I was asked to get a complete medical checkup.
210665,"As the baby is otherwise fine, no need of other investigations at this moment."
210666,"But I would like to highlight a point to you that, the possibility of recurrent episodes may be there in future."
210753,Avoid fast food and chocolates.
210768,Pregnancy happens only on penetration intercourse with some volume of semen ejaculated inside into the vagina.
210831,"In short, desensitization is done for few specific conditions with strict protocols."
210894,Only hurts when flaccid.
210905,As urologist told you it is likely hematoma or nerve injury.
210940,I have acne and coarse hair on my body.
210997,If the symptoms do not recede then please do the following tests.
211037,The bad breath is really annoying.
211114,Is it too less?
211121,"Although there is no exact cut off for the diagnosis of short QT syndrome, it is usually seen in patients with QTc of 360 msec ( not in all patients with this)."
211126,"So I do not think, there is much need to worry about it."
211129,My height is 5 feet 11 inches and weight is 78 kg.
211149,"During worst situations, I took 50 mg Viagra only 4 to 5 times in the last three months."
211202,Telogen starts one to three months after one recovers from the illness.
211215,There are several medicines available in Ayurveda to manage blood pressure.
211253,Is my problem of white discharge due to hormonal imbalance?
211359,"All this with no itching, no discharge or pain whatsoever."
211400,Gargling with warm salt water after every meal also will give a temporary relief.
211409,"Still, to increase your ejaculation time, you can try behavioral techniques like technique which involves stimulating/penetrating the penis and stopping just before you feel you are about to ejaculate."
211505,I have been using Dutasteride tablets for the past one month for hair loss treatment.
211506,I have been facing erectile dysfunction for the past one month.
211604,You have to hold the child.
211704,"Hi doctor,I have a girl baby."
211730,It is unlikely for you to be pregnant now.
211794,"I am a 18-year-old girl who was diagnosed with a PAPVC defect on the left upper pulmonary vein seven months back and have had symptoms for quite a while like poor circulation, exercise intolerance which seems to get worse even as I gradually try to build up endurance and my current cardiologist does not."
211912,"Then IUI can be done, of course after correcting semen only."
211971,My daughter is 5 years old suffering from fever from last two days.
211975,Today our doctor suggested having Monocef antibiotic.
211978,"Generally, fever lasts for 2 to 3 days."
212049,The condition is aggravated by what is called contribution from Parkinson's disease.
212192,"Moreover, you have been using various topical agents and you might have got contact dermatitis with all of these."
212260,I took an RNA HIV test 16 days after that exposure.
212282,"Hello doctor,I am having vertigo, water retention, muscle weakness, muscle pain all over, tired, weight gain (obesity), severe mood swings, depression and swelling face, feet, stomach, etc."
212325,"Does this pain increase on applying pressure over the chest area, if yes then it is likely a musculoskeletal pain and unlikely to be heart-related?"
212492,It burns and is too sensitive even if it touches the cloth.
212517,"I had some blood laboratory work done and it showed my AST 812 and ALT 1,115."
212535,"For high blood sugars, I would suggest that you try to avoid high carbohydrate diet, soda, bakery products, white bread or pasta and juices."
212582,I found cardiac markers are quite normal.
212587,Coming to ECG (electrocardiogram) there are some T wave inversions in lead V2 and V3.
212654,I do not know how many more doctors should I see.
212659,"I am on Pinom 40 (morning), Concor 5 mg (evening) and Pantocid 20 mg twice daily."
212778,Your father's symptoms are compatible with a stroke.
212798,"Therapy for this will involve psychosexual therapy integrated with changes in your lifestyle, medication."
212818,Can I give Levolin too?
212972,"Yes, your son has a slightly knocked knee gait."
213007,"She has a habit of drinking almost every evening, but not too much."
213010,Our local physician said that it is due to some sort of stomach irritation from the increase in her white blood cell count.
213023,"The blood pressure falls during these episodes, and one has dizziness, fainting, blackouts, and sometimes syncope."
213028,Thyroid problem not corrected.
213063,Please let me know why this skin infection keeps happening to me?
213245,You need to get your gallbladder removed.
213249,"Actually, my heart was good only 30 % block."
213263,It is a blood thinning agent and keeps the blood running in veins and arteries without excessive clotting.
213279,"Hello doctor,From the last two months, I am not interested in sex."
213404,"I have seen a retina specialist and a cornea specialist, both have said nothing is wrong."
213426,"You should check your thyroid hormone level, vitamin B 12 level, and fasting glucose to rule out diabetes."
213428,"Do not take on empty stomach, it will cause stomach pain or gastritis."
213443,"Also, the rash does not go away after a while, sometimes it just stays there."
213573,"So, it is necessary to reduce the dose to 1 mg and increase the dose after five days to 2 mg. For more information consult a neurologist online --> https://www.icliniq.com/ask-a-doctor-online/neurologist"
213622,Tell me some things to cure this.
213645,So if you are able to access healthcare facility within this time then such long blood thinners may be avoided.
213646,"Also, even if you remain in AFib throughout the holiday, it is not life-threatening."
213655,Please tell me what to apply.
213668,Seroxat is Paroxetine and is an SSRI drug.
213728,"Her sister, brother, mother, uncle passed away from different cancers but her late mother had the same colon cancer."
213841,"I have read your query, and understand that you are looking to taper Xanax."
213875,There is no cause for undue concern as both conditions are easily treatable.
213887,"So chest pain can be from muscular pain but still, heart failure or other cardiac cause should be ruled out by EKG."
214052,What details am I supposed to give to the lab for GFR test?
214056,Please help me my vagina is sore and I am only 18 years old.
214218,"Just add 10 drops of this liquid in half cup of water, stir it well and apply it to the area."
214233,The DMSA scans interpretation was that low lying small sized right kidney with a cortical defect in inferior half.
214289,"I am planning to remove it, but the dentist of my friend did not recommend it because it might have an abscess on it, while my dentist said that it is alright to remove."
214304,The most irritated area are the tear ducts.
214318,"Kindly suggest for Ayurveda medicine to cure this permanently and good tablet to use for sex two to three times in a week and avoid PE, without side effects."
214433,"Yes, you need to go for fourth generation ELISA (enzyme-linked immunosorbent assay)."
214532,Normal complete healing of an extracted tooth socket will definitely take up to two weeks.
214585,"I am a 28 year old female nurse, I have been having severe menstrual pain throughout my life, and sadly each year the pain increases."
214622,The most important usual cause of hepatitis (inflammation in the liver cells) are:
214640,This is to see the trend and confirm the elevated levels.
214704,So the doctor decreased the Quetiapine dose to 300 then to 200.
214761,If using air-conditioner keep the temperature at a moderate level like 23 to 26 degrees Celsius and make sure the air is not dry.
214762,It should be moist.
214777,What do the following mean?
214837,What is the best way to treat this?
214897,Since when are you having these issues?
214900,"After sex, I forgot to clean my scrotum and did not realize until 30 minutes later."
214908,Kaposi sarcoma which you are referring to is a very late manifestation of HIV and is seen in patients with advanced immunosuppression and also usually found in homosexual HIV-infected individuals.
214915,"Also, the patient feels severe vomiting."
214959,Ferpill is Clomifene citrate which increases the ovulation chances.
215102,My son is 4.
215105,"We have found that when he plays an action game, he becomes extremely scared and points to his head."
215119,We know what triggers it.
215183,My sugar is under control.
215191,"I have seen the top neurologists in my country, taken all the drugs and Botox variants and even considered deep brain stimulation."
215194,"The first symptom is a discoloration of the skin from the base of my skull, which runs halfway down my back."
215198,This is coupled with breaking out in a cold sweat.
215261,"I got back home last week with a cough for which I visited a doctor and he gave me meds like Switch CV 325, Odimont LC and Mucovisc which I took for six days."
215263,"I have done all the said tests, and everything came normal."
215270,I am trying to understand a bipolar with a massive strip club addiction.
215287,Lying as you mentioned can be a part of his premorbid personality.
215335,This pill is a progesterone hormone in a high dose.
215352,The other possibility can be benign fasciculation syndrome.
215363,Please do get the latest fields done and send it to me.
215369,I gasp for breath.
215377,Continue Ventolin (Salbutamol).
215382,"It has been two years, but I cannot recover from it."
215391,"But, I will not suggest the same."
215466,"I am more anxious about having to cope with kids on my own, and I am not getting out with them like I used to."
215544,"I think it is roughly the same size, though."
215577,"Today is my third day of antibiotic treatment, symptoms are largely the same."
215598,I would like you to: Here are the answer to your questions.
215611,"Recently, I suffered with some kind of undiagnosed burning during urination, right side testicle pain and groin pain, even though my blood work and urine test came back fine."
215649,"However, with C clade virus it is somewhat protective and does not lead to rapid disease progression which has something to do with the CD8 T cell response to a single gag epitope which is only available in the C clade virus."
215703,"Most of these 19 years, I have been taking 100 mg."
215750,I wish to spend some time outside with my family.
215873,The problem you mentioned here is very common and teenagers and adults face it frequently.
215909,Then my efforts come back to get back into the system.
216024,It needs another better drugs.
216039,"I am currently taking Allercet cold (thrice a day for cold), Azithral 500 (once in a day, for two days for minor throat infection), Bepozic (antihistamine) ( once in a day for acute urticaria on my body which is almost recovering)."
216045,Simultaneously you start taking steroid and Azelastine nasal spray that is Duonase nasal spray (one puff each nostril twice daily for three weeks and then one puff each nostril once daily at night for another three weeks).
216050,The boy was born with c-section and apgar score was low immediately after delivery but improved in the following measurements.
216051,He lived with us at home.
216087,My sleep has become worse in the past two years.
216105,"About a month ago, I decided to smoke marijuana with some friends, as I have several times before."
216176,Otherwise the fatigue prevents me from doing most normal daily activities.
216201,Sleep study: no hypoxia or sleep apnea.
216270,"Thereafter, the foot was in a cast which was removed on 20th."
216318,He was worried for my daughter from the crying and choking.
216488,"I want to consult a gynecologist, so that she can suggest me medicine."
216494,My RV S' velocity was 16 cm.
216506,"So, instead of taking medicine for constipation, I suggest you improve your diet."
216594,Avoid tight undergarments and wear loose clothes to keep the area airy.
216655,The other tablets Dazit (Desloratidine) and Hhlevo (Levocetirizine) are antacid and antihistaminic respectively.
216710,Any input on this is appreciated.
216716,"My girlfriend, a 20-year-old virgin female, and I had sex but no intercourse was made as it was our first time."
216741,I consulted an andrologist three years back who conducted a blood test and found my TSH level at 4.81 IU/ml which he said was slightly on the higher side.
216844,"Now after remaining hospitalized for more than two weeks (more than five days in the ICU), she has been discharged."
216904,I keep myself motivated that I will not drink today but somehow I do end up drinking.
216952,I do not see any reason for you to worry and there is no need for any interference.
216978,I have attached my blood report.
216987,"So, a healthy lifestyle and weight loss are necessary."
217002,"I did a pregnancy test last week, and it was positive."
217158,My wife is under a lot of stress because of bleeding and no heartbeat.
217189,I am a virgin and practice good genital hygiene.
217193,"How common is it for a person, who is 21 years old, to have vaginal cancer?"
217215,I have quit now and have not smoked in the last four years.
217224,There is no clear evidence how people get the virus in their oral cavities (some people never practiced oral sex).
217346,Please follow up to discuss the progress.
217355,"But, it became very scanty after D and C. Also, my endometrial thickness is growing only 5 mm after D and C. At present, I am taking Ubiphene 50 mg tablet for ovulation and Harmoni F and Duphaston 10 mg from day 15 of my cycle."
217494,I highlighted the area in question.
217498,Revert with more information to a radiologist online --> https://icliniq.com./ask-a-doctor-online/radiologist
217544,"Yes, you do not need any treatment for it, in case you handled in for too many years."
217562,"Redness is there, it is a sign of spread."
217565,"I have major headaches a lot lately, and I am scared."
217584,Six months ago I had S1 and L5 fusion.
217597,So I am confused if the condition is done from a trauma.
217613,"ESR is normal, so it makes the possibility of chronic inflammatory illness to be less likely."
217614,"However, your iron profile is not complete, serum ferritin value is not there."
217623,So it is better if you can get it examined by a local physician.
217878,Surgery is needed for this.
217898,What is the course of action?
218031,You require STD screening test to properly diagnose the type of infection (STD) you are suffering from.
218063,"But they did not mean there was not much to explore and in the later evaluation, they found all fine."
218079,If I use contact lens instead of the lens would it help the eyes in any way?Do you recommend lens or contact lens?
218091,"As per the doctor, there is no need for the surgery and the conservative treatment will work."
218127,As I have taken full five doses five months back.
218131,Anti-rabies antibodies will still persist in the body and provide immunity.
218223,Once reports are available will help in confirming the diagnosis.
218404,It is definitely a gum problem but not gingivitis.
218435,"Even if I am with someone, I am not able to connect with them."
218565,"I feel tired and loss of concentration, and tingling sensation on the face for the last two years."
218570,Yoga can prevent the degenerative changes in multiple sclerosis.
218629,I had been diagnosed with a TMJ disorder a few months ago and had my jaw popped.
218663,"Despite on biological injection for 10 years, efficacy reduced and became ineffective affecting mobility very badly."
218706,So your priority at this time is healthy lifestyle and control of BP.
218827,"Coming to your second question, the treatment procedure for your upper right first molar totally depends on the X-ray."
218862,"I went to a dermatologist who prescribed Accutane, Vitamin A for my acne."
218897,I will suggest medical treatment.
218914,"I was in good health, hiked, exercised, ate right."
218994,"On this aspect, you should start motivate yourself."
219001,I did not get my periods for the past three months.
219026,I am 45 years old and was diagnosed years ago but only started with symptoms a little over a year ago.
219052,"Recently, I had severe pain as well along with the pus."
219055,I do not have pain anymore.
219075,"For postponing for weeks, you can have Primolute N (Norethisterone) 10 mg twice daily for two or three weeks if you want to delay cycles and can stop three to four days before you want to get withdrawal bleeding."
219110,Take plenty of green leafy vegetables and fruits and have an active lifestyle.
219114,The receptive partner has more chances of getting the virus from the dominant one during an anal intercourse as the anorectal mucosa is very soft and can easily tear.
219119,I understand your concern about the stains in your teeth as it really affects the confidence of a person.
219163,I weigh 141 pounds.
219183,She had a heavy cold and cough last week due to which she got a temperature of 99.8.
219188,"So, by yesterday night gave her Meftal post which her fever came down."
219205,I am HIV positive but undetectable viral load and CD4 724.
219291,Rest of numbers seem normal.
219301,Presently she is under regular follow up.
219302,"For last two years, she has severe abdomen discomfort, crampy pain, and abdomen fullness."
219316,"Hello doctor,I was having a very good day working."
219379,I saw the PCP.
219393,I stopped the Lasix five days ago before seeing the PCP.
219488,"As you mentioned you are a runner, according to me, your hamstring and calf may be shortened or tight."
219548,"And today, she is very sleepy taking feed for just 10 minutes almost every one to one and a half hours before falling asleep again."
219552,"If the baby is passing urine more than six times in 24 hours, then the child is getting adequate feed."
219596,The best way to get this clarified is with a visual fields test or perimetry.
219688,We do not want to have the second baby now.
219689,Then I took abortion pills and my period came.
219771,"As long as the child is not chronically ill, is gaining weight, feeding well and not having any other problems, you need not worry."
219829,"But, the main point is, it is for one to two days after ejaculation or wet dreams."
219932,Do write back if any more queries and for your feedback.
219951,My urinary problem has gone once I started taking antibiotic but I still do have back pain.
219957,"Are you married, had any children?"
220175,"So, do you think I am a diabetic or do you think it was just the Seroquel that caused the two high readings?"
220187,"Recently, diagnosed with atrial fibrillation with controlled rate."
220216,The last time I had sex was the 10th.
220231,Pelvic floor exercise strengthens muscles and helps avoid incontinence.
220295,I cannot be sure as to which bug.
220334,"If you wish to have your normal pearly smile back, I advise you choose a root canal treatment."
220387,I have read your post thoroughly and I understand that you need a sense of direction in terms of the origin of the pathology.
220401,I am 65 years old and weigh 72 kg.
220481,She has low hemoglobin and deranged lipid profile.
220560,"I regularly gargle with hot water or diluted Betadine gargles (Povidone-iodine solution ), but there is no effect."
220572,"I was wondering what is the need for a statin, you have not shared your lipid profile report with me."
220685,"If above tests are normal, get an MRI brain and rule out any organic causes."
